,Benchmark,Hardware Vendor,System,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
169,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz),272.0,46.9,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
170,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),272.0,44.6,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
171,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),269.0,44.9,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
172,power_ssj2008,Dell Inc.,PowerEdge R740,457.0,52.3,2,28,2,Intel Xeon Platinum 8180,2500,192,112
173,power_ssj2008,Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280, 2.70 GHz)",432.0,49.8,2,28,2,"Intel Xeon Platinum 8280,",2700,192,112
174,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),268.0,77.5,2,32,2,AMD EPYC 7601 Dell SKU [338-BNCG],2200,128,128
175,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),287.0,84.9,2,32,2,AMD EPYC 7601,2200,128,128
176,power_ssj2008,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25 GHz)",246.0,99.5,1,64,2,AMD EPYC 7742,2250,128,128
177,power_ssj2008,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)",393.0,72.3,2,64,2,AMD EPYC 7702,2000,128,256
178,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",279.0,100.0,2,12,1,AMD Opteron 6174,2200,16,24
179,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",509.0,142.0,4,12,1,AMD Opteron 6174,2200,32,48
180,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6278, 2.40 GHz)",593.0,118.0,4,16,1,AMD Opteron 6278,2400,64,64
181,power_ssj2008,Dell Inc.,PowerEdge R820 (Intel Xeon E5-4650 v2 2.40 GHz),374.0,71.8,4,10,2,Intel Xeon E5-4650 v2,2400,48,80
182,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",457.0,108.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
183,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",458.0,106.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
184,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",446.0,110.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
185,power_ssj2008,Dell Inc.,PowerEdge R830 (Intel Xeon E5-4669 v4 2.20 GHz),562.0,86.4,4,22,2,Intel Xeon E5-4669 v4,2200,256,176
186,power_ssj2008,Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),923.0,85.6,4,28,2,Intel Xeon Platinum 8180,2500,384,224
187,power_ssj2008,Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),939.0,89.8,4,28,2,Intel Xeon Platinum 8180,2500,384,224
188,power_ssj2008,Dell Inc.,PowerEdge R940,915.0,106.0,4,28,2,Intel Xeon Platinum 8180,2500,384,224
189,power_ssj2008,Dell Inc.,PowerEdge T620 (Intel Xeon E5-2660 v2 2.20 GHz),172.0,40.3,2,10,2,Intel Xeon E5-2660 v2,2200,24,40
