Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Apple Inc.,"Xserve31

 Apr  8 2009 | 
    HTML | 
    Text",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU X5570,2930,2,8,16,18,227974,334,173,464
Apple Inc.,"Xserve21

 Apr  8 2009 | 
    HTML | 
    Text",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU E5472,3000,2,8,32,16,141739,353,213,245
Bull SAS,"NovaScale R440 F2 (Intel Xeon X5670 2.93 GHz)

 Oct 20 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,911120,247,60.4,2831
"Cisco Systems Inc.
Cisco Systems Inc.","UCS C220 M3

 Oct 17 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1443280,261,59.5,4904


"Colfax International
Advanced Micro Devices","CX2266-N2

 Dec 11 2007 | 
    HTML | 
    Text",1,BEA Systems Inc,AMD Opteron 2216HE,2400,2,4,4,16,95853,276,164,203
DEPO Computers,"DEPO Storm 3350V2

 Oct  7 2014 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,32,1634387,232,97.1,5244
DEPO Computers,"DEPO Race X340H

 Dec 19 2014 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Core i5-4570,3200,1,4,4,16,322 278,131,832,1469
Dell Inc.,"PowerEdge 2950 III (Intel Xeon E5440)

 Dec 11 2007 | 
    HTML | 
    Text",1,BEA Systems Inc.,Intel Xeon E5440,2833,2,8,8,16,305413,276,157,682
Dell Inc.,"PowerEdge 1950 III (Intel Xeon E5440)

 Feb 27 2008 | 
    HTML | 
    Text",1,BEA Systems Inc.,Intel Xeon E5440,2833,2,8,8,8,284028,244,143,712
Dell Inc.,"PowerEdge 2950 III (Intel Xeon E5440)

 Feb 27 2008 | 
    HTML | 
    Text",1,BEA Systems Inc.,Intel Xeon E5440,2833,2,8,8,16,298188,254,147,719
Dell Inc.,"PowerEdge R300

 Mar 26 2008 | 
    HTML | 
    Text",1,BEA Systems Inc.,Intel Xeon L5410,2330,1,4,4,8,155342,117,75.1,800
Dell Inc.,"PowerEdge Energy Smart 1950 III (Intel Xeon L5420)

 Jul 31 2008 | 
    HTML | 
    Text",1,BEA Systems Inc.,Intel Xeon L5420,2500,2,8,8,8,282904,226,143,744
