,Benchmark,Hardware Vendor,System,Result,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
83,power_ssj2008,Acer Incorporated,Gateway GR585 F1,2210.0,524.0,192.0,4,12,1,AMD Opteron 6168,1900,32,48
84,power_ssj2008,Acer Incorporated,Gateway GR585 F1,2350.0,571.0,185.0,4,12,1,AMD Opteron 6176,2300,32,48
85,power_ssj2008,Acer Incorporated,Gateway GR585 F1,2555.0,518.0,142.0,4,12,1,AMD Opteron 6174,2200,32,48
86,power_ssj2008,Acer Incorporated,Gateway GT110 F1,1263.0,94.5,47.7,1,4,1,Intel Xeon Processor L3360,2833,4,4
87,power_ssj2008,Acer Incorporated,Gateway GT110 F2 (Intel Xeon E3-1270),3270.0,102.0,21.4,1,4,2,Intel Xeon E3-1270,3400,8,8
88,power_ssj2008,Acer Incorporated,"Gateway GT115 F1 (AMD Opteron 4164EE, 1.80 GHz)",1971.0,70.3,32.0,1,6,1,AMD Opteron 4164EE,1800,8,6
89,power_ssj2008,Acer Incorporated,"Gateway GT150 F1(Intel Xeon X5670, 2.93 GHz)",2716.0,245.0,65.5,2,6,2,Intel Xeon X5670,2933,12,24
90,power_ssj2008,Acer Incorporated,"Gateway GT310 F1 (Intel Xeon X3470, 2.93 GHz)",1987.0,127.0,34.6,1,4,2,Intel Xeon X3470,2933,8,8
91,power_ssj2008,Acer Incorporated,Gateway GT350 F1,2462.0,264.0,79.5,2,6,2,Intel Xeon X5675,3067,12,24
92,power_ssj2008,Acer Incorporated,Gateway GT350 F1,1630.0,192.0,87.7,2,4,2,Intel Xeon L5530,2400,8,16
93,power_ssj2008,Acer Incorporated,"Gateway GT350 F1(Intel Xeon X5670, 2.93 GHz)",2531.0,257.0,78.4,2,6,2,Intel Xeon X5670,2933,12,24
94,power_ssj2008,Acer Incorporated,Gateway GW1000-GW170 F1,1588.0,386.0,145.0,4,4,2,Intel Xeon L5520,2266,16,32
95,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,2659.0,1025.0,270.0,8,6,2,Intel Xeon X5675,3067,48,96
96,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,2795.0,1014.0,269.0,8,6,2,Intel Xeon X5675,3067,96,96
97,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,1674.0,748.0,260.0,8,4,2,Intel Xeon L5520,2266,32,64
98,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW175h F1,2481.0,1111.0,284.0,8,12,1,AMD Opteron 6174,2200,64,96
99,power_ssj2008,Acer Incorporated,Gateway GW2000ht-GW170ht F1,2098.0,596.0,204.0,4,6,2,Intel Xeon X5670,2933,24,48
100,power_ssj2008,Apple Inc.,"Xserve2,1",245.0,353.0,213.0,2,4,4,Intel(R) Xeon(R) CPU E5472,3000,16,32
101,power_ssj2008,Apple Inc.,"Xserve3,1",464.0,334.0,173.0,2,4,2,Intel(R) Xeon(R) CPU X5570,2930,18,16
102,power_ssj2008,Bull SAS,"NovaScale R440 F2 (Intel Xeon X5670, 2.93 GHz)",2831.0,247.0,60.4,2,6,2,Intel Xeon X5670,2933,12,24
103,power_ssj2008,"Cisco Systems, Inc.",UCS C220 M3,4904.0,261.0,59.5,2,8,2,Intel Xeon E5-2660,2200,24,32
104,power_ssj2008,Colfax International,CX2266-N2,203.0,276.0,164.0,2,2,1,AMD Opteron 2216HE,2400,16,4
106,power_ssj2008,DEPO Computers,DEPO Storm 3350V2,5244.0,232.0,97.1,2,10,2,Intel Xeon E5-2660 v2,2200,32,40
107,power_ssj2008,Dell Inc.,"Dell PowerEdge R710 (Intel Xeon X5675, 3.06 GHz)",3214.0,227.0,62.2,2,6,2,Intel Xeon X5675,3066,24,24
108,power_ssj2008,Dell Inc.,PowerEdge 1950 III (Intel Xeon E5440),712.0,244.0,143.0,2,4,1,Intel Xeon E5440,2833,8,8
109,power_ssj2008,Dell Inc.,PowerEdge 2950 III (Intel Xeon E5440),719.0,254.0,147.0,2,4,1,Intel Xeon E5440,2833,16,8
110,power_ssj2008,Dell Inc.,PowerEdge 2950 III (Intel Xeon E5440),682.0,276.0,157.0,2,4,1,Intel Xeon E5440,2833,16,8
111,power_ssj2008,Dell Inc.,"PowerEdge 2970 (AMD Opteron 2356, 2.30 GHz)",545.0,302.0,139.0,2,4,1,AMD Opteron 2356,2300,16,8
112,power_ssj2008,Dell Inc.,"PowerEdge 2970 (AMD Opteron 2382, 2.60 GHz)",851.0,258.0,127.0,2,4,1,AMD Opteron 2382,2600,16,8
113,power_ssj2008,Dell Inc.,PowerEdge C5220 (Intel Xeon E3-1265LV2),6000.0,672.0,194.0,12,4,2,Intel Xeon E3-1265LV2,2500,96,96
114,power_ssj2008,Dell Inc.,"PowerEdge C6100 (Intel Xeon X5675, 3.06 GHz)",3281.0,895.0,227.0,8,6,2,Intel Xeon 5675,3067,64,96
115,power_ssj2008,Dell Inc.,"PowerEdge C6105 (AMD Opteron 4376HE, 2.6 GHz)",4510.0,573.0,106.0,8,8,1,AMD Opteron 4376HE,2600,64,64
116,power_ssj2008,Dell Inc.,"PowerEdge C6145 (AMD Opteron 6380, 2.50 GHz)",4499.0,1105.0,196.0,8,16,1,AMD Opteron 6380,2500,128,128
117,power_ssj2008,Dell Inc.,PowerEdge C6320 (Intel Xeon E5-2699 v3 2.30 GHz),9472.0,1229.0,210.0,8,18,2,Intel Xeon E5-2699 v3,2300,256,288
118,power_ssj2008,Dell Inc.,PowerEdge Energy Smart 1950 III (Intel Xeon L5420),744.0,226.0,143.0,2,4,1,Intel Xeon L5420,2500,8,8
119,power_ssj2008,Dell Inc.,PowerEdge FC630 (Intel Xeon E5-2699 v3 2.30 GHz),9288.0,1256.0,228.0,8,18,2,Intel Xeon E5-2699 v3,2300,256,288
120,power_ssj2008,Dell Inc.,PowerEdge M420,4535.0,6854.0,1773.0,64,8,2,Intel Xeon E5-2470,2300,768,1024
121,power_ssj2008,Dell Inc.,PowerEdge M520,5034.0,4026.0,713.0,32,8,2,Intel Xeon E5-2470,2300,384,512
122,power_ssj2008,Dell Inc.,PowerEdge M520 (Intel Xeon E5-2470 (2.30 GHz),5521.0,4078.0,732.0,32,8,2,Intel Xeon E5-2470,2300,256,512
124,power_ssj2008,Dell Inc.,PowerEdge M610,3348.0,3504.0,873.0,32,6,2,Intel Xeon X5675,3060,384,384
125,power_ssj2008,Dell Inc.,PowerEdge M610,3094.0,3716.0,877.0,32,6,2,Intel Xeon X5670,2933,192,384
127,power_ssj2008,Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.6 GHz)",4649.0,3881.0,828.0,32,8,2,Intel Xeon E5-2670,2600,384,512
128,power_ssj2008,Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.60 GHz)",4982.0,4057.0,833.0,32,8,2,Intel Xeon E5-2670,2600,384,512
129,power_ssj2008,Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2699 v4, 2.20 GHz)",10062.0,4918.0,878.0,32,22,2,Intel Xeon E5-2699 v4,2200,2048,1408
130,power_ssj2008,Dell Inc.,PowerEdge M710HD,3162.0,3780.0,972.0,32,6,2,Intel Xeon X5675,3060,384,384
131,power_ssj2008,Dell Inc.,PowerEdge M820,4853.0,3997.0,832.0,32,8,2,Intel Xeon E5-4650L,2600,384,512
134,power_ssj2008,Dell Inc.,PowerEdge M915,2919.0,4847.0,1107.0,32,16,1,AMD Opteron 6276,2300,512,512
135,power_ssj2008,Dell Inc.,PowerEdge M915,2716.0,4219.0,1068.0,32,12,1,AMD Opteron 6176,2300,256,384
136,power_ssj2008,Dell Inc.,"PowerEdge M915 (AMD Opteron 6380, 2.50 GHz)",4421.0,4562.0,976.0,32,16,1,AMD Opteron 6380,2500,512,512
137,power_ssj2008,Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G, 3.70 GHz)",8913.0,93.1,20.0,1,6,2,Intel Xeon E-2176G,3700,32,12
138,power_ssj2008,Dell Inc.,PowerEdge R300,800.0,117.0,75.1,1,4,1,Intel Xeon L5410,2330,8,4
139,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",4866.0,205.0,51.2,2,8,2,Intel Xeon E5-2470,2300,24,32
140,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",5420.0,263.0,53.3,2,8,2,Intel Xeon E5-2470,2300,24,32
